id|numero|nivel|cantidad_banios|metros_cuadrados|ambientes|dormitorios|observaciones|deleted_at|created_at|updated_at|torre_id|user_id
1|06A|||125.11||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|1
2|06B|||125.48||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|2
3|06C|||100.35||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|3
4|06D|||100.56||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|4
5|07A|||125.11||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|5
6|07B|||125.48||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|6
7|07C|||100.35||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|7
8|07D|||100.56||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|8
9|08A|||125.11||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|9
10|08B|||125.48||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|10
11|08C|||100.35||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|11
12|08D|||100.56||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|12
13|09A|||125.11||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|13
14|09B|||125.48||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|14
15|09C|||100.35||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|15
16|09D|||100.56||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|16
17|10A|||125.11||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|17
18|10B|||125.48||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|18
19|10C|||100.35||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|19
20|10D|||100.56||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|20
21|11A|||125.11||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|21
22|11B|||125.48||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|22
23|11C|||100.35||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|23
24|11D|||100.56||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|24
25|12A|||125.11||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|25
26|12B|||125.48||| $1.50 ||2016-5-18 11:00:00|2016-5-18 11:00:00|1|26
