Albania,Tirana
Alemania,Berlín
Andorra,Andorra La Vieja
Armenia,Ereván
Austria,Viena
Azerbaiyán,Bakú
Bélgica,Bruselas
Bielorrusia,Minsk
Bosnia Y Herzegovina,Sarajevo
Bulgaria,Sofía
República Checa,Praga
Croacia,Zagreb
Dinamarca,Copenhague
Eslovaquia,Bratislava
Eslovenia,Lublijana
España,Madrid
Estonia,Tallín
Finlandia,Helsinki
Francia,París
Georgia,Tiflis
Grecia,Atenas
Hungría,Budapest
Irlanda,Dublín
Islandia,Reikiavik
Italia,Roma
Letonia,Riga
Liechtenstein,Vaduz
Lituania,Vilna
Luxemburgo,Luxemburgo
República De Macedonia,Skopje
Malta,La Valeta
Moldavia,Chisinau
Mónaco,Mónaco
Montenegro,Podgorica
Noruega,Oslo
Países Bajos,Amsterdam
Polonia,Varsovia
Portugal,Lisboa
Reino Unido,Londres
Rumania,Bucarest
Rusia,Moscú
San Marino,Ciudad De San Marino
Serbia,Belgrado
Suecia,Estocolmo
Suiza,Berna
Ucrania,Kiev
Vaticano,Ciudad Del Vaticano
Antigua V Barbuda,Saint John's
Argentina,Buenos Aires
Bahamas,Nassau
Barbados,Bridgetown
Belice,Belmopán
Bolivia,"Sucre, La Paz"
Brasil,Brasilia
Canadá,Ottawa
Chile,Santiago De Chile
Colombia,Bogotá
Costa Rica,San José
Cuba,La Habana
Dominica,Roseau
República Dominicana,Santo Domingo
Ecuador,Quito
El Salvador,San Salvador
Estados Unidos,Washington D. C.
Granada,Saint George's
Guatemala,Ciudad De Guatemala
Guyana,Georgetown
Haití,Puerto Príncipe
Honduras,Tegucigalpa
Jamaica,Kingston
México,México D. F.
Nicaragua,Managua
Panamá,Ciudad De Panamá
Paraguay,Asunción
Perú,Lima
Puerto Rico,San Juan
San Cristóbal Y Nieves,Basseterre
Santa Lucía,Castries
San Vicente Y Las Granadinas,Kingstown
Surinam,Paramaribo
Trinidad Y Tobago,Puerto España
Uruguay,Montevideo
Venezuela,Caracas
Afganistán,Kabul
Arabia Saudita,Riad
Baréin,Manamá
Bangladés,Daca
Brunei,Bandar Seri Begawan
Bután,Timbu
Camboya,Pnon Pehn
Catar,Doha
China,Pekín
Chipre,Nicosia
Corea Del Norte,Pyongyang
Corea Del Sur,Seúl
Emiratos Arabes Unidos,Abu Dabi
Filipinas,Manila
India,Nueva Delhi
Indonesia,Yakarta
Irán,Teherán
Iraq,Bagdad
Israel,Jerusalén
Japón,Tokio
Jordania,Ammán
Kazajistán,Astaná
Kirguistán,Biskek
Kuwait,Ciudad De Kuwait
Laos,Vientián
Líbano,Beirut
Malasia,Kuala Lumpur
Maldivas,Malé
Mongolia,Ulan Bator
Myanmar (birmania),Naypyidaw
Nepal,Katmandú
Omán,Mascate
Pakistán,Islamabad
Palestina,Ramala
Singapur,Singapur
Siria,Damasco
Sri Lanka,Colombo
Tailandia,Bangkok
Taiwan,Taipeh
Tayikistán,Dusambé
Timor Oriental,Dili
Turkmenistán,Asjabad
Turquía,Ankara
Uzbekistán,Tashkent
Vietnam,Hanoi
Yemen,Saná
Angola,Luanda
Argelia,Argel
Benin,Porto-Novo
Botsuana,Gaberones
Burkina Faso,Uagadugú
Burundi,Buyumbura
Cabo Verde,Praia
Camerún,Yaundé
República Centroafricana,Bangui
Chad,Yamena
Comoras,Moroni
República Del Congo,Brazzaville
República Democrática Del Congo,Kinshasa
Costa De Marfil,"Yamusukro, Abiyán"
Egipto,El Cairo
Eritrea,Asmara
Etiopía,Adís Abeba
Gabón,Libreville
Gambia,Banjul
Ghana,Accra
Guinea,Conakry
Guinea-Bissau,Bissau
Guinea Ecuatorial,Malabo
Kenia,Nairobi
Lesoto,Maseru
Liberia,Monrovia
Libia,Trípoli
Madagascar,Antananarivo
Malaui,Lilongüe
Mali,Bamako
Marruecos,Rabat
Mauricio,Port Louis
Mauritania,Nuakchot
Mozambique,Maputo
Namibia,Windhoek
Níger,Niamey
Nigeria,Abuya
República Saharaui,El Aaiún
Ruanda,Kigali
Santo Tomé Y Príncipe,Santo Tomé
Senegal,Dakar
Seychelles,Victoria
Sierra Leona,Freetown
Somalia,Mogadiscio
Suazilandia,Mbabane
Sudáfrica,"Pretoria, Ciudad Del Cabo, Bloemfontein"
Sudán Del Norte,Jartum
Sudán Del Sur,Yuba
Tanzania,Dodoma
Togo,Lomé
Túnez,Túnez
Uganda,Kampala
Yibuti,Yibuti
Zambia,Lusaka
Zimbabue,Harare
Australia,Canberra
Fiyi,Suva
Kiribati,Tarawa
Islas Marshall,Majuro
Micronesia,Palikir
Nauru,Yaren
Nueva Zelanda,Wellington
Palaos,Melekeok
Papúa Nueva Guinea,Port Moresby
Islas Salomón,Honiara
Samoa,Apia
Tonga,Nuku'alofa
Tuvalu,Funafuti
Vanuatu,Port Vila
